"...1","screenName","text","created","statusSource","Created_At_Round","tweetSource","date","hour"
629,"cosmic_petal","just for context, there is no official, big halloween event in ita",2022-10-30 22:18:48,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:18:48,22
630,"BPbiggestgginDW","their probably not allowed to use bubble because of itaewon incident no fan service",2022-10-30 22:18:41,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:18:41,22
631,"suhromis","what a surprise..governmental and presidential grossness and malpractice is the main cause of itaewon",2022-10-30 22:18:03,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:18:03,22
632,"jcdurbant","itaewon class no more",2022-10-30 22:17:57,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-30 22:00:00,"others",2022-10-30 22:17:57,22
633,"Asa_szone","deepest condolences to the victims of itaewon and the philippines. prayforitaewon prayforphilippines",2022-10-30 22:17:34,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:17:34,22
634,"ajenaissant","out of respect for the mourning period that has been placed after the itaewon tragedy, there will be no new designs this week &lt;3",2022-10-30 22:17:29,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-30 22:00:00,"others",2022-10-30 22:17:29,22
635,"pshygge","pray for itaewon",2022-10-30 22:17:25,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:17:25,22
636,"foreveryawn_","the itaewon incident is a reminder for all of us that we go to places to have fun without knowing it'll be a tragic one",2022-10-30 22:17:15,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:17:15,22
637,"ascottie07","death toll rises to 154 in itaewon crowd surge via",2022-10-30 22:16:52,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-30 22:00:00,"others",2022-10-30 22:16:52,22
638,"rdhunni21","im home and safe! ty for asking we got home when the itaewon incident happened :(",2022-10-30 22:16:33,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:16:33,22
639,"lovetaebear","can't believe that the death toll keeps rising after what happened in itaewon.. sending my prayers to all those effected",2022-10-30 22:16:21,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:16:21,22
640,"ppierodds","scores dead in halloween stampede in seouls itaewon neighborhood | voanews - youtube",2022-10-30 22:16:18,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",2022-10-30 22:00:00,"others",2022-10-30 22:16:18,22
641,"fro_ottarts","no but seriously given the itaewon situation, you should really learn how to protect yourself if you were caught in",2022-10-30 22:15:58,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:15:58,22
642,"lovemyheadwrap","praying for itaewon - not enough are talking about this tragedy. crowd crush is real. if you're ever at an event",2022-10-30 22:15:33,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:15:33,22
643,"panx_Gieh","lenovo thinkpad x260 intel core i7 ram 8gb ssd 256gb layar 12.5"" baterai oke charger free mouse wireless rp 3,7",2022-10-30 22:15:28,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:15:28,22
644,"_tteokboki","condolences all those who lost their children, friends, and loved ones on itaewon night my thoughts and prayers are with you all",2022-10-30 22:15:27,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:15:27,22
645,"winxyboo1013","tw// itaewon stampede someone from my school passed in the itaewon stampede when he was studying abroad. i didn't",2022-10-30 22:15:23,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:15:23,22
646,"KpopNew24793219","police was there but they cant do anything cause its already too crowded! they estimates 100k+ people a",2022-10-30 22:15:12,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:15:12,22
647,"Koreaboo","actor yoon hong bin recounts assisting with rescue efforts during the itaewon tragedy",2022-10-30 22:15:00,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",2022-10-30 22:00:00,"others",2022-10-30 22:15:00,22
648,"minwonch30L","mourning for the lives lost in itaewon halloween event and the victims of typhoon paeng in the philippines. may you",2022-10-30 22:14:44,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:14:44,22
649,"na_na_asantewaa","seeing some of the itaewon halloween videos",2022-10-30 22:14:43,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:14:43,22
650,"enurllllll","afraid to see halloweens accident in itaewon. send a prayer &amp; deep condolences",2022-10-30 22:14:22,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:14:22,22
651,"Pro_Noth","how's your weekend womenpower respect fashion design women crrative tshirt yarg morbibridge itaewon dogecoin halloween",2022-10-30 22:14:15,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:14:15,22
652,"MotoTennisBoy","praying for itaewon and those whose lives were lost there. such a lively fun-loving place is now scarred with this",2022-10-30 22:14:13,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:14:13,22
653,"SkZhia","rip to all the souls that been stamped and died, during itaewon accident's may god guide you through your resting place in peace",2022-10-30 22:13:47,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:13:47,22
654,"hohocho","its a day of halloween here in s.korea. but we cannot enjoy this day because of itaewon. 154 people dead so far. l",2022-10-30 22:13:20,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",2022-10-30 22:00:00,"iphone",2022-10-30 22:13:20,22
655,"Marsella_B","he mention on the igs that he would like to visit itaewon in the morning after the incident but then",2022-10-30 22:13:15,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",2022-10-30 22:00:00,"android",2022-10-30 22:13:15,22
